timestamp,event_type,symbol,side,price,qty,reason,status,pnl
2026-03-17 22:51:17,TRADE,ETHUSDT,SELL,2325.52,0.017,,,0.0
2026-03-17 22:51:40,TRADE,ETHUSDT,SELL,2325.62,0.023,,,0.0
2026-03-17 22:51:53,TRADE,ETHUSDT,SELL,2322.22,0.014,,,0.0
2026-03-17 22:52:06,TRADE,ETHUSDT,SELL,2321.27,0.019,,,0.0
2026-03-17 22:52:15,TRADE,SOLUSDT,BUY,93.56,0.36,,,0.0
2026-03-17 22:52:25,TRADE,SOLUSDT,SELL,93.41,0.36,,,0.0
2026-03-17 22:52:28,TRADE,ETHUSDT,SELL,2316.82,0.023,,,0.0
2026-03-17 22:52:37,TRADE,SOLUSDT,BUY,93.45,0.37,,,0.0
2026-03-17 22:52:46,TRADE,ETHUSDT,BUY,2317.69,0.017,,,0.0
2026-03-17 22:52:50,TRADE,SOLUSDT,BUY,93.44,0.36,,,0.0
2026-03-17 22:52:57,TRADE,ETHUSDT,BUY,2321.42,0.017,,,0.0
2026-03-17 22:53:08,TRADE,DOGEUSDT,BUY,0.0987,457.0,,,0.0
2026-03-17 22:53:10,TRADE,ETHUSDT,BUY,2320.82,0.017,,,0.0
2026-03-17 22:53:23,TRADE,ETHUSDT,SELL,2322.8,0.015,,,0.0
2026-03-17 22:53:34,TRADE,ETHUSDT,SELL,2323.53,0.014,,,0.0
2026-03-17 22:53:49,TRADE,ETHUSDT,BUY,2322.6,0.016,,,0.0
2026-03-17 22:53:54,TRADE,SOLUSDT,BUY,93.64,0.36,,,0.0
2026-03-17 22:54:10,TRADE,ETHUSDT,SELL,2324.39,0.019,,,0.0
2026-03-17 22:54:13,TRADE,SOLUSDT,BUY,93.69,0.39,,,0.0
2026-03-17 22:54:48,TRADE,ETHUSDT,BUY,2324.19,0.017,,,0.0
2026-03-17 22:54:53,TRADE,SOLUSDT,SELL,93.69,0.36,,,0.0
2026-03-17 22:55:00,TRADE,ETHUSDT,BUY,2325.77,0.015,,,0.0
2026-03-17 22:55:17,TRADE,ETHUSDT,BUY,2326.45,0.017,,,0.0
2026-03-17 22:55:27,TRADE,SOLUSDT,SELL,93.73,0.36,,,0.0
2026-03-17 22:55:40,TRADE,ETHUSDT,BUY,2324.84,0.014,,,0.0
2026-03-17 22:55:53,TRADE,ETHUSDT,BUY,2325.01,0.019,,,0.0
2026-03-17 22:56:08,TRADE,ETHUSDT,SELL,2324.8,0.014,,,0.0
2026-03-17 22:56:12,TRADE,SOLUSDT,SELL,93.68,0.36,,,0.0
2026-03-17 22:56:19,TRADE,ETHUSDT,SELL,2324.31,0.016,,,0.0
2026-03-17 22:56:30,TRADE,ETHUSDT,BUY,2325.58,0.014,,,0.0
2026-03-17 22:56:43,TRADE,ETHUSDT,BUY,2325.34,0.019,,,0.0
2026-03-17 22:56:43,TRADE,SOLUSDT,SELL,93.69,0.36,,,0.0
2026-03-17 22:57:02,TRADE,ETHUSDT,BUY,2328.59,0.014,,,0.0
2026-03-17 22:57:13,TRADE,ETHUSDT,SELL,2328.21,0.015,,,0.0
2026-03-17 22:57:41,TRADE,ETHUSDT,BUY,2329.21,0.015,,,0.0
2026-03-17 22:58:02,TRADE,ETHUSDT,SELL,2328.55,0.016,,,0.0
2026-03-17 22:58:21,TRADE,ETHUSDT,SELL,2328.34,0.017,,,0.0
2026-03-17 22:58:34,TRADE,ETHUSDT,SELL,2329.34,0.019,,,0.0
2026-03-17 22:58:59,TRADE,ETHUSDT,BUY,2329.16,0.017,,,0.0
2026-03-17 22:59:08,TRADE,SOLUSDT,SELL,93.86,0.36,,,0.0
